Hour,DryBulb,DewPnt,DEMAND
18,57,46,2601
19,56,44,2594
20,55,43,2581
21,53,44,2632
22,52,45,2611
23,52,45,2474
24,52,44,2285
1,52,45,2114
2,52,44,2014
3,51,45,1949
4,51,45,1913
5,50,43,1904
6,50,43,1894
7,51,44,1963
8,54,45,2106
9,56,46,2284
10,57,46,2428
11,58,47,2529
12,60,49,2613
13,61,47,2653
14,61,47,2636
15,60,48,2619
16,61,49,2612
17,60,50,2633
18,61,49,2660
19,62,49,2680
20,61,50,2696
21,59,51,2790
22,60,51,2739
23,60,53,2530
24,61,49,2305
1,59,50,2135
2,57,50,2038
3,57,51,1988
4,57,51,1982
5,58,52,2026
6,58,51,2153
7,56,51,2484
8,61,50,2840
9,65,51,3042
10,65,53,3204
11,68,56,3321
12,66,53,3381
13,65,54,3412
14,66,53,3427
15,65,54,3430
16,66,53,3430
17,67,54,3432
18,66,54,3393
19,68,51,3274
20,69,52,3198
21,66,52,3209
22,66,52,3118
23,66,54,2855
24,66,53,2565
